"id","name","country","city","website","phone","email","address","created_by","updated_by","created_at","updated_at"
"1055","Indutex S.p.A.","Italy","20011 Corbetta","indutexspa.com ","390297238711","info@indutexspa.com","Indutex S.p.A. 
Via S.Francesco 8/10 
20011 Corbetta, Italy
P.O. Box 63
20011 Corbetta, Italy","Anjali",NULL,"2025-06-25 14:13:19","2025-06-25 14:13:19"
"1056","Inuteq International B.V.","Netherlands","Zweedsestraat 19c, 7418 BG Deventer",,"3161416918",,"Inuteq International B.V.
Zweedsestraat 19c, 7418 BG Deventer
Netherlands","Anjali",NULL,"2025-06-25 14:13:19","2025-06-25 14:13:19"
"1057","Irudek 2000 S.L.","Spain","20400 Tolosa (Guipuzcoa)","irudek.com ","34943692617","irudek@irudek.com","Irudek 2000 S.L. 
Poligono Industrial Apatta, C/Baratzondo Naves C 14-18
20400 Tolosa (Guipuzcoa), Spain
P.O. Box 183
20400 Tolosa (Guipuzcoa), Spain","Anjali",NULL,"2025-06-25 14:13:19","2025-06-25 14:13:19"
"1058","Jolly Scarpe SpA","Italy","Via Feltrina Sud 172, 31044 Montebelluna (TV)"," http://www.jollyscarpe.com","390423666411","info@jollyscarpe.com","Jolly Scarpe SpA
Via Feltrina Sud 172, 31044 Montebelluna (TV)
Italy","Anjali",NULL,"2025-06-25 14:13:19","2025-06-25 14:13:19"
"1059","KERMEL SAS","France","68027 Colmar Cedex","kermel.com ","33389203690","info@kermel.com","KERMEL SAS 
20 Rue Ampere 
68027 Colmar Cedex, France","Anjali",NULL,"2025-06-25 14:13:19","2025-06-25 14:13:19"
"1060","KONG S.p.A.","Italy","23804 Monte Marenzo (LC)","kong.it ","390341630506","info@kong.it","KONG S.p.A. 
Via XXV Aprile, 4 
23804 Monte Marenzo (LC), Italy","Anjali",NULL,"2025-06-25 14:13:19","2025-06-25 14:13:19"
"1061","Kratos Safety SAS","France","69780 St- Pierre-de-Chandieu","kratossafety.com ","33472487827","info@kratossafety.com","Kratos Safety SAS 
4 rue de l'Aigue 
69780 St- Pierre-de-Chandieu, France","Anjali",NULL,"2025-06-25 14:13:19","2025-06-25 14:13:19"
"1062","LANZI srl","Italy","10148 Torino","lanzisafety.com ","390112284011","commerciale@lanzi.net","LANZI srl 
Via Giulio Natta 27a 
10148 Torino, Italy","Anjali",NULL,"2025-06-25 14:13:19","2025-06-25 14:13:19"
"1063","LEBEURRE SAS","FRANCE","QUERRIEU"," http://www.lma-lebeurre.com","33322403030","lma@lebeurre.com","LEBEURRE SAS
32, Route Nationale, 80115 Querrieu
France","Anjali",NULL,"2025-06-25 14:13:19","2025-06-25 14:13:19"
"1064","Lewer Calzature Techniche S.R.L.","Italy","84020 Colliano (SA)","lewer.it ","390828995520","info@lewer.it","Lewer Calzature Techniche S.R.L. 
Contrada Bagni 
84020 Colliano (SA), Italy","Anjali",NULL,"2025-06-25 14:13:19","2025-06-25 14:13:19"
"1065","Lyngsoe Rainwear ApS","Denmark","7400 Herning","lyngsoe-rainwear.dk ","4597214167","sales@lyngsoe-rainwear.dk","Lyngsoe Rainwear ApS 
Hammershusvej 1b 
7400 Herning, Denmark [incl. Greenland]","Anjali",NULL,"2025-06-25 14:13:19","2025-06-25 14:13:19"
"1066","Manulatex France SAS","France","49123 Champtoce sur Loire","manulatex.fr ","33241399030","info@manulatex.fr","Manulatex France SAS 
Z.A. du Mille 
49123 Champtoce sur Loire, France","Anjali",NULL,"2025-06-25 14:13:19","2025-06-25 14:13:19"
"1067","Master Lock Europe S.A.S.","France","92200 Neuilly sur Seine","masterlocksafety.de ","33141437200","safetyeu@mlock.com","Master Lock Europe S.A.S. 
131, avenue Charles de Gaulle 
92200 Neuilly sur Seine, France","Anjali",NULL,"2025-06-25 14:13:19","2025-06-25 14:13:19"
"1068","Melton A/S","DENMARK","VEJEN"," http://www.melton.as","4541121929","post@melton.as","Melton A/S
Aadalen 7D, 6600 Vejen
Denmark","Anjali",NULL,"2025-06-25 14:13:19","2025-06-25 14:13:19"
"1069","MILLA S.R.L","Italy","94017 Regalbuto","millasrl.it ","39093571144","info@millasrl.it","MILLA S.R.L 
Contrada Saverino S.N.C. 
94017 Regalbuto, Italy
P.O. Box 60
94017 Regalbuto, Italy","Anjali",NULL,"2025-06-25 14:13:19","2025-06-25 14:13:19"
"1070","Mille SAS","France","84350 Courthezon","gastonmille.com ","33490704074","welcome@gastonmille.fr","Mille SAS 
69 Rue Marcel Valerian P.A. de la Grange Blanche
84350 Courthezon, France","Anjali",NULL,"2025-06-25 14:13:19","2025-06-25 14:13:19"
"1071","Nettuno srl","Italy","24060 Castelli Calepio (BG)","nettuno.net ","39035847508","sales@nettuno.net","Nettuno srl 
Viale Industria, 16/18 
24060 Castelli Calepio (BG), Italy","Anjali",NULL,"2025-06-25 14:13:19","2025-06-25 14:13:19"
"1072","Optrel AG","SWITZERLAND","WATTWIL"," http://www.ornclothing.com","41 71 987 42 00","sales@orn-int.com","ORN CLOTHING PRIVATE LIMITED
1st Floor, Marina Annex Plot 34, Vikasbagh Ring Road, Vikasnagar, 226022 Lucknow
India","Anjali",NULL,"2025-06-25 14:13:19","2025-06-25 14:13:19"
"1073","Over Teak S.r.l.","Italy","70051 Barletta (BA)","uniwork.it ","390883346743",,"Over Teak S.r.l. 
Via dell´Unione Europea, 28 
70051 Barletta (BA), Italy","Anjali",NULL,"2025-06-25 14:13:19","2025-06-25 14:13:19"
"1074","PAB Akrapovic Ltd.","Croatia","52420 Buzet","pab.hr ","38552662662","info@pab-buzet.com","PAB Akrapovic Ltd. 
Most 26 
52420 Buzet, Croatia","Anjali",NULL,"2025-06-25 14:13:19","2025-06-25 14:13:19"
"1075","Productos CLIMAX, S.A.","Spain"," Barcelona","productosclimax.com ","34935621311","info@productosclimax.com","Productos CLIMAX, S.A. 
Polg. Inds. Sector Mollet C/ Llobregat, 1
08150 Parets del Valles, Barcelona, Spain
P.O. Box 84
08150 Parets del Valles, Barcelona, Spain","Anjali",NULL,"2025-06-25 14:13:19","2025-06-25 14:13:19"
"1076","RG Safety SAS","France","817, rue Nicephore Niepce, ZAC de la Fouillouse, 69800 Saint-Priest"," http://www.groupe-rg.com","3340472236905","communication@groupe-rg.com","RG Safety SAS
817, rue Nicephore Niepce, ZAC de la Fouillouse, 69800 Saint-Priest
France","Anjali",NULL,"2025-06-25 14:13:19","2025-06-25 14:13:19"
"1077","Rock Empire s.r.o.","Czech Republic","407 22 Benesov nad Ploucnici","rockempire.cz ","420412704168","amy.vesela@rockempire.cz","Rock Empire s.r.o. 
Nadrani 712 
407 22 Benesov nad Ploucnici, Czech Republic","Anjali",NULL,"2025-06-25 14:13:19","2025-06-25 14:13:19"
"1078","RSG Safety B.V.","Netherlands","5928 PW Venlo","rsgsafety.com ","31854870395","sales@rsgsafety.com","RSG Safety B.V. 
Marinus Dammeweg 38 
5928 PW Venlo, Netherlands","Anjali",NULL,"2025-06-25 14:13:19","2025-06-25 14:13:19"
"1079","Rudholm & Haak AB","Sweden","50464 Boras","functionalthinking.com ","4633231110","info@rudholm-hk.se","Rudholm & Haak AB 
Företagsgatan 34 
50464 Boras, Sweden
P.O. Box 1103
50111 Boras, Sweden","Anjali",NULL,"2025-06-25 14:13:19","2025-06-25 14:13:19"
"1080","SAFCO ITALIA Srl","ITALY","GUSSAGO (BS)"," http://www.saf-tex.com","390303733937","info@safcoitalia.net","SAFCO ITALIA Srl
Via Benedetto Castelli, 25064 Gussago (BS)
Italy","Anjali",NULL,"2025-06-25 14:13:19","2025-06-25 14:13:19"
"1081","Schoeller Textil AG","Switzerland","9475 Sevelen","schoeller-works.com ","41817860800","info@schoeller-works.com","Schoeller Textil AG 
Bahnhofstr. 17 
9475 Sevelen, Switzerland","Anjali",NULL,"2025-06-25 14:13:19","2025-06-25 14:13:19"
"1082","SFE International SAS","FRANCE","MALATAVERNE"," http://www.sf-electric.com","33475908700","export@sf-electric.com","SFE International SAS
815b chemin du Razas, ZI Les Plaines, 26780 Malataverne
France","Anjali",NULL,"2025-06-25 14:13:19","2025-06-25 14:13:19"
"1083","Shoes for Crews (Europe) Ltd.","Ireland","Shannon","sfceurope.com ","35361479200","gosia@sfceurope.com","Shoes for Crews (Europe) Ltd. 
4135 Atlantic Avenue Western Business Park
Shannon, Ireland","Anjali",NULL,"2025-06-25 14:13:19","2025-06-25 14:13:19"
"1084","Sicurpal S.r.l.","Italy","Via dei Mestieri 12, 41030 Bastiglia"," http://www.sicurpal.it","39059818179","amministrazione@sicurpal.it","Sicurpal S.r.l.
Via dei Mestieri 12, 41030 Bastiglia
Italy","Anjali",NULL,"2025-06-25 14:13:19","2025-06-25 14:13:19"
"1085","Siggi Group SPA","Italy","36030 San Vito di Leguzzano (VI)","siggigroup.it ","390445695500","info@siggigroup.it","Siggi Group SPA 
Via Vicenza 23 
36030 San Vito di Leguzzano (VI), Italy","Anjali",NULL,"2025-06-25 14:13:19","2025-06-25 14:13:19"
"1086","SIKA Footwear A/S","Denmark","7400 Herning","sikafootwear.dk ","4597211911","info@sikafootwear.dk","SIKA Footwear A/S 
HI-Park 301 
7400 Herning, Denmark [incl. Greenland]","Anjali",NULL,"2025-06-25 14:13:19","2025-06-25 14:13:19"
"1087","SINGING ROCK s.r.o.","Czech Republic","51401 Ponikla","singingrock.com ","420481585007","info@singingrock.com","SINGING ROCK s.r.o. 
Ponikla 317 
51401 Ponikla, Czech Republic","Anjali",NULL,"2025-06-25 14:13:19","2025-06-25 14:13:19"
"1088","SPASCIANI S.P.A.","Italy","21040 Origgio (VA)","spasciani.com ","39029695181","info@spasciani.com","SPASCIANI S.P.A. 
Via Saronnino 72 
21040 Origgio (VA), Italy","Anjali",NULL,"2025-06-25 14:13:19","2025-06-25 14:13:19"
"1089","Spirale S.r.l.","Italy","38050 Cinte Tesino (TN)","spirale.it ","390461591411","spirale@spirale.it","Spirale S.r.l. 
Via Nuova 9 
38050 Cinte Tesino (TN), Italy","Anjali",NULL,"2025-06-25 14:13:19","2025-06-25 14:13:19"
"1090","Steel Blue Europe (EMEA) BV","NETHERLANDS","ALMERE"," http://www.steelblue.com","31363030280","info.europe@steelblue.com","Steel Blue Europe (EMEA) BV
P.O. Box 140, 1500 EC Almere 
Witte Vrouwen 15, 1358 CD Almere
Netherlands","Anjali",NULL,"2025-06-25 14:13:19","2025-06-25 14:13:19"
"1091","Supermax Healthcare Ltd","UK","12-16, Titan Drive, PE1 5XN Peterborough"," http://www.aureliagloves.co.uk","441733615215","sales@supermax.co.uk","Supermax Healthcare Ltd
12-16, Titan Drive, PE1 5XN Peterborough
United Kingdom","Anjali",NULL,"2025-06-25 14:13:19","2025-06-25 14:13:19"
"1092","TechNiche UK Ltd.","UK","TW8 8LE Brentford","techniche-europe.com ","442082326866","sales@techniche-europe.com","TechNiche UK Ltd. 
Crown House 30, Commerce Road
TW8 8LE Brentford, United Kingdom","Anjali",NULL,"2025-06-25 14:13:19","2025-06-25 14:13:19"
"1093","TOF s.r.l.","Italy","28017 San Maurizio D'Opaglio (NO)","tofin.com ","390322915919","tof@tofin.com","TOF s.r.l. 
Via dell Erica 16-18 
28017 San Maurizio D'Opaglio (NO), Italy","Anjali",NULL,"2025-06-25 14:13:19","2025-06-25 14:13:19"
"1094","Van Laere International N.V.","Belgium","9220 Hamme","herockworkwear.com ","3252444821","info@herockworkwear.com","Van Laere International N.V. 
Zwaarveld 48 
9220 Hamme, Belgium","Anjali",NULL,"2025-06-25 14:13:19","2025-06-25 14:13:19"
"1095","Wintersteiger AG","Austria","4910 Ried im Innkreis","wintersteiger.at ","4377529190","drytech@wintersteiger.at","Wintersteiger AG 
Dimmelstr. 9 
4910 Ried im Innkreis, Austria","Anjali",NULL,"2025-06-25 14:13:19","2025-06-25 14:13:19"
"1096","Y. Berger & Co. AB","Sweden","421 30 Västra Frölunda","eurekasafety.se ","4631490940","bla@berger.se","Y. Berger & Co. AB 
Ingela Gathenhielms gata 3 
421 30 Västra Frölunda, Sweden","Anjali",NULL,"2025-06-25 14:13:19","2025-06-25 14:13:19"
"1097","Altrex BV","Netherlands","Mindenstraat 7, 8028 PK Zwolle"," http://www.altrex.com","31384557700","sales@altrex.com","Altrex BV
Mindenstraat 7, 8028 PK Zwolle
Netherlands","Anjali",NULL,"2025-06-25 14:13:19","2025-06-25 14:13:19"
"1098","Elacin International B.V.","Netherlands","5107 RG Dongen","elacinatwork.com ","31162372525","a.schulte@elacin.com","Elacin International B.V. 
De Hak 21 
5107 RG Dongen, Netherlands
P.O. Box 230
5100AE Dongen, Netherlands","Anjali",NULL,"2025-06-25 14:13:19","2025-06-25 14:13:19"
"1099","ETCHE SECURITE sarl","France","64130 Viodos-Abense-de-Bas","etchesecurite.com ","33559280541","etche@etchesecurite.fr","ETCHE SECURITE sarl 
ZA Ordokia 
64130 Viodos-Abense-de-Bas, France","Anjali",NULL,"2025-06-25 14:13:19","2025-06-25 14:13:19"
"1100","INTEGRAL THERMAL SHIELD, S.L.","Spain"," Asturias","itssafety.com ","34985722601","info@itssafety.com","INTEGRAL THERMAL SHIELD, S.L. 
P.I. Promogranda, Nave 6 
33199 Granda, Asturias, Spain","Anjali",NULL,"2025-06-25 14:13:19","2025-06-25 14:13:19"
"1101","MALINA-Safety s.r.o.","Czech Republic","466 01 Jablonec nad Nisou","malina-safety.cz ","420483356621","export@malina-safety.cz","MALINA-Safety s.r.o. 
Lucni 1391/11 
466 01 Jablonec nad Nisou, Czech Republic","Anjali",NULL,"2025-06-25 14:13:19","2025-06-25 14:13:19"
"1102","PPE Services B.V.","Netherlands","3036BC Rotterdam","ppe-services.com ","31104432337","ppe@ppe-services.com","PPE Services B.V. 
Bergweg 66 
3036BC Rotterdam, Netherlands","Anjali",NULL,"2025-06-25 14:13:19","2025-06-25 14:13:19"
"1103","Sacobel World Leather Confections BV","Netherlands","4817 BL Breda","sacobel.com ","31765711111","info@sacobel.com","Sacobel World Leather Confections BV 
Takkebijsters 15H 
4817 BL Breda, Netherlands
P.O. Box 2012
4800 CA Breda, Netherlands","Anjali",NULL,"2025-06-25 14:13:19","2025-06-25 14:13:19"
"1104","Sioen N.V.","Belgium","8850 Ardooie","sioenapparel.com ","3251740800","customer@sioen.be","Sioen N.V. 
Fabriekstraat 23 
8850 Ardooie, Belgium","Anjali",NULL,"2025-06-25 14:13:19","2025-06-25 14:13:19"
"1105","Weldas Europe B.V.","Netherlands","4612 RC Bergen op Zoom","weldas.com ","31164274650","europe@weldas.com","Weldas Europe B.V. 
Blankenweg 18 
4612 RC Bergen op Zoom, Netherlands","Anjali",NULL,"2025-06-25 14:13:19","2025-06-25 14:13:19"
"1106","ST QUADRAT Fall Protection SA","Luxembourg","5410 Beyren","lux-top-absturzsicherungen.de ","35226747265","info@st-quadrat.lu","ST QUADRAT Fall Protection SA 
45, rue Fuert 
5410 Beyren, Luxembourg","Anjali",NULL,"2025-06-25 14:13:19","2025-06-25 14:13:19"
"1107","Texstar AB","Sweden","NORRTÄLJE"," http://www.texstar.se","46176296550","order@texstar.se","Texstar AB
Gösvägen 7, 76141 Norrtälje
Sweden","Anjali",NULL,"2025-06-25 14:13:19","2025-06-25 14:13:19"
"1108","3M Deutschland GmbH","Germany","Carl-Schurz-Str. 1, 41453 Neuss"," http://www.3mdeutschland.de","492131140","innovation.de@3m.com","3M Deutschland GmbH
Carl-Schurz-Str. 1, 41453 Neuss
Germany","Anjali",NULL,"2025-06-25 14:13:19","2025-06-25 14:13:19"
"1109","7 Solutions GmbH","Germany","Mathias-Brüggen-Str. 39, 50827 Köln"," http://www.7solutions.de","4922117089410","info@7solutions.de","7 Solutions GmbH
Mathias-Brüggen-Str. 39, 50827 Köln
Germany","Anjali",NULL,"2025-06-25 14:13:19","2025-06-25 14:13:19"
"1110","Abdullah Tannery Private Limited","India","208010 Kanpur",,"5122464051","anumir@abdullahtannery.com","Abdullah Tannery Private Limited 
16-B, 150 Feet Road, Jajmau 
208010 Kanpur, India","Anjali",NULL,"2025-06-25 14:13:19","2025-06-25 14:13:19"
"1111","Abhikriti Impex Pvt. Ltd.","India","700 026 Kolkata","agriminternational.com ","3324545215","agrim@vsnl.com","Abhikriti Impex Pvt. Ltd. 
Anand Bhawan 1st Floor 92, Hazra Road
700 026 Kolkata, India","Anjali",NULL,"2025-06-25 14:13:19","2025-06-25 14:13:19"
"1112","ABUS August Bremicker Söhne KG","Germany","Altenhofer Weg 25, 58300 Wetter (Ruhr)"," http://www.abus.com","4923356340","info@abus.com","ABUS August Bremicker Söhne KG
Altenhofer Weg 25, 58300 Wetter (Ruhr)
Germany","Anjali",NULL,"2025-06-25 14:13:19","2025-06-25 14:13:19"
"1113","Acknit Industries Limited","India","700 017 Kolkata","acknitindia.com ","3322877617","sales@acknitindia.com","Acknit Industries Limited 
224, A. J. C. Bose Road. Suit No 817, Krishna
700 017 Kolkata, India","Anjali",NULL,"2025-06-25 14:13:19","2025-06-25 14:13:19"
"1114","Addgards Co. Ltd","IRELAND","DUBLIN 18"," http://addgards.com","35312149833","emmaflynn@addgards.com","Addgards Co. Ltd
Unit 3 Blackglen Village Centre, Sandyford, D18 W251 Dublin 18
Ireland","Anjali",NULL,"2025-06-25 14:13:19","2025-06-25 14:13:19"
"1115","Adolf Würth GmbH & Co. KG","Germany","Reinhold-Würth-Str. 12-17, 74653 Künzelsau"," http://www.wuerth.de","497940150","info@wuerth.com","Adolf Würth GmbH & Co. KG
Postfach 12 61, 74642 Künzelsau 
Reinhold-Würth-Str. 12-17, 74653 Künzelsau
Germany","Anjali",NULL,"2025-06-25 14:13:19","2025-06-25 14:13:19"
"1116","Airflow Lufttechnik GmbH","Germany","Kleine Heeg 21, 53359 Rheinbach"," http://www.airflow.de","49222692050","info@airflow.de","Airflow Lufttechnik GmbH
Postfach 12 08, 53349 Rheinbach 
Kleine Heeg 21, 53359 Rheinbach
Germany","Anjali",NULL,"2025-06-25 14:13:19","2025-06-25 14:13:19"
"1117","AISCO Firetrainer GmbH","Germany","Grünstr. 18, 79232 March"," http://www.aisco-firetrainer.com","497665947750","info@aisco-firetrainer.com","AISCO Firetrainer GmbH
Postfach 10 01 64, 79120 March 
Grünstr. 18, 79232 March
Germany","Anjali",NULL,"2025-06-25 14:13:19","2025-06-25 14:13:19"
"1118","ALBA & N s.r.l.","Italy","76125 Trani (BT)","albaen.it ","390883532581","info@albaen.it","ALBA & N s.r.l. 
Strada Provinciale Trani - Andria Km 2 
76125 Trani (BT), Italy","Anjali",NULL,"2025-06-25 14:13:19","2025-06-25 14:13:19"
"1119","Albert Fezer Maschinenfabrik GmbH","Germany","Hauptstr. 37-39, 73730 Esslingen-Zell"," http://www.fezer.com","49711360090","info@fezer.com","Albert Fezer Maschinenfabrik GmbH
Postfach 50 24, 73716 Esslingen-Zell 
Hauptstr. 37-39, 73730 Esslingen-Zell
Germany","Anjali",NULL,"2025-06-25 14:13:19","2025-06-25 14:13:19"
